Evento,Fecha,Hora UTC,Hora Local(*),Latitud,Longitud,Profundidad(km),Magnitud,Tipo Mag.,Int. max.,Localizacion
es2021vcsqt,28/10/2021,06:23:55,07:23:55,28.5537,-17.8437,13,2.7,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcsuh,28/10/2021,06:28:04,07:28:04,28.5698,-17.8359,12,3.2,mbLg,,SW VILLA DE MAZO.ILP
es2021vctaq,28/10/2021,06:35:27,07:35:27,28.5555,-17.8544,11,2.6,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vctcf,28/10/2021,06:37:15,07:37:15,28.5591,-17.8257,14,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcthw,28/10/2021,06:43:54,07:43:54,28.5506,-17.8474,15,3.1,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vctog,28/10/2021,06:51:37,07:51:37,28.5625,-17.8292,10,3.1,mbLg,,SW VILLA DE MAZO.ILP
es2021vcgvf,28/10/2021,00:25:49,01:25:49,28.5618,-17.8212,12,3.5,mbLg,IV,SW VILLA DE MAZO.ILP
es2021vchbn,28/10/2021,00:32:47,01:32:47,28.5655,-17.8347,10,2.5,mbLg,,SW VILLA DE MAZO.ILP
es2021vchez,28/10/2021,00:36:51,01:36:51,28.5584,-17.8321,10,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchhp,28/10/2021,00:39:54,01:39:54,28.5609,-17.8252,10,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vchqq,28/10/2021,00:50:29,01:50:29,28.5603,-17.8414,10,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchso,28/10/2021,00:52:39,01:52:39,28.5616,-17.8373,10,2.5,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchuc,28/10/2021,00:54:28,01:54:28,28.5578,-17.8330,12,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vchwk,28/10/2021,00:57:16,01:57:16,28.5473,-17.8350,14,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcibd,28/10/2021,01:03:22,02:03:22,28.5497,-17.8293,12,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcvdw,28/10/2021,07:40:02,08:40:02,28.5602,-17.8290,13,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcvmb,28/10/2021,07:49:22,08:49:22,28.5534,-17.8388,13,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcvno,28/10/2021,07:51:09,08:51:09,28.5668,-17.8314,12,3.6,mbLg,IV,SW VILLA DE MAZO.ILP
es2021vcvqp,28/10/2021,07:54:41,08:54:41,28.5591,-17.8306,12,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcwag,28/10/2021,08:05:55,09:05:55,28.5652,-17.8306,12,3.2,mbLg,,SW VILLA DE MAZO.ILP
es2021vcwcn,28/10/2021,08:09:08,09:09:08,28.5633,-17.8358,12,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcwhv,28/10/2021,08:14:48,09:14:48,28.5628,-17.8372,11,3.3,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcwoo,28/10/2021,08:22:40,09:22:40,28.5886,-17.8508,10,2.6,mbLg,,SE EL PASO.ILP
es2021vcwqv,28/10/2021,08:25:16,09:25:16,28.5600,-17.8442,12,2.9,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcwwm,28/10/2021,08:31:49,09:31:49,28.5547,-17.8373,12,3.1,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcwxy,28/10/2021,08:33:33,09:33:33,28.5576,-17.8360,13,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcwyy,28/10/2021,08:34:43,09:34:43,28.5708,-17.8432,10,2.6,mbLg,,SW VILLA DE MAZO.ILP
es2021vcxbg,28/10/2021,08:37:25,09:37:25,28.5537,-17.8327,14,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxdv,28/10/2021,08:40:28,09:40:28,28.5620,-17.8354,10,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxgd,28/10/2021,08:43:03,09:43:03,28.5505,-17.8308,14,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxhs,28/10/2021,08:44:55,09:44:55,28.5691,-17.8224,12,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcxlq,28/10/2021,08:49:30,09:49:30,28.5608,-17.8298,11,2.9,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxmc,28/10/2021,08:50:03,09:50:03,28.5506,-17.8340,14,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxri,28/10/2021,08:56:08,09:56:08,28.5549,-17.8265,12,2.8,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcxrp,28/10/2021,08:56:26,09:56:26,28.5762,-17.8264,12,2.7,mbLg,,SW VILLA DE MAZO.ILP
es2021vcxxc,28/10/2021,09:03:09,10:03:09,28.5656,-17.8361,14,3.2,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcyau,28/10/2021,09:07:11,10:07:11,28.5752,-17.8230,11,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcygb,28/10/2021,09:13:20,10:13:20,28.5616,-17.8307,11,3.4,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcyhl,28/10/2021,09:14:55,10:14:55,28.5623,-17.8407,10,2.6,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcyji,28/10/2021,09:17:07,10:17:07,28.5677,-17.8343,12,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcyka,28/10/2021,09:17:55,11:17:55,37.3242,-8.5637,17,2.1,mbLg,,NW MONCHIQUE.POR
es2021vcynt,28/10/2021,09:22:16,10:22:16,28.5589,-17.8457,14,3.1,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
es2021vcypg,28/10/2021,09:24:02,10:24:02,28.5616,-17.8349,11,3.0,mbLg,,NE FUENCALIENTE DE LA PALMA.IL
es2021vcyqw,28/10/2021,09:25:54,10:25:54,28.5564,-17.8167,13,2.8,mbLg,,SW VILLA DE MAZO.ILP
es2021vcyub,28/10/2021,09:30:23,10:30:23,28.5637,-17.8419,12,2.7,mbLg,,N FUENCALIENTE DE LA PALMA.ILP
