Evento,Fecha,HoraUTC,HoraLocal,Latitud,Longitud,Profundidad,Magnitud,Tipo_Magnitud,Intensidad,Localizacion,Imagen
es2021trtfd,08/10/2021,00:45:02,01:45:02,28.5552,-17.8317,12,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trsei,08/10/2021,00:13:49,01:13:49,28.5478,-17.8322,14,3.2,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trrmj,07/10/2021,23:52:50,00:52:50,28.5637,-17.8034,39,2.7,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021trqty,07/10/2021,23:31:23,00:31:23,28.5535,-17.8425,15,3.0,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trpic,07/10/2021,22:47:16,23:47:16,28.5536,-17.8311,14,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trojh,07/10/2021,22:18:22,23:18:22,28.5514,-17.8477,14,3.0,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trnzu,07/10/2021,22:07:17,23:07:17,28.5620,-17.8477,10,2.2,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trnpl,07/10/2021,21:55:32,22:55:32,28.5642,-17.8207,11,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021trklg,07/10/2021,20:19:24,21:19:24,28.5560,-17.8408,13,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trizi,07/10/2021,19:35:12,20:35:12,28.5612,-17.8362,11,2.8,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trhqu,07/10/2021,18:55:36,19:55:36,28.5628,-17.8485,13,3.4,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trhge,07/10/2021,18:42:40,19:42:40,28.5690,-17.8428,10,3.1,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021treit,07/10/2021,17:14:38,18:14:38,28.5581,-17.8207,14,3.5,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021trdqe,07/10/2021,16:52:59,17:52:59,28.5625,-17.8395,10,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trdli,07/10/2021,16:47:20,17:47:20,28.5596,-17.8472,13,2.6,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trcnk,07/10/2021,16:19:28,17:19:28,28.5653,-17.8391,14,2.7,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trcih,07/10/2021,16:13:42,17:13:42,28.5603,-17.8463,13,2.9,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
